yearID,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,GF,R,IP,CLASS,throws_L,throws_R,throws_S
2008,4,2,47,0,0,0,0,49,30,4,35,49,7,32,48.67,3,0,1,0
2008,0,3,16,0,0,0,4,15,9,1,4,5,6,10,12.33,3,0,1,0
2008,1,0,6,4,0,0,0,25,8,4,10,16,1,8,30.0,1,0,1,0
2008,3,5,46,0,0,0,3,48,21,7,26,31,22,25,53.0,3,0,1,0
2008,2,3,54,0,0,0,0,49,18,7,19,74,11,18,65.33,1,0,1,0
2008,1,0,3,3,0,0,0,18,12,0,13,4,0,12,12.0,3,0,1,0
2008,1,0,4,0,0,0,0,4,1,1,3,3,0,1,3.67,3,0,1,0
2008,1,1,74,0,0,0,0,78,29,9,25,80,20,36,78.33,2,1,0,0
2008,0,1,7,0,0,0,0,15,6,1,6,13,2,6,13.67,3,0,1,0
2008,3,3,28,3,0,0,0,43,19,4,22,26,5,21,49.0,2,0,1,0
2008,0,0,9,0,0,0,0,17,13,1,9,9,5,13,9.33,3,0,1,0
2008,1,1,15,2,0,0,0,23,10,1,10,13,4,10,21.67,3,0,1,0
2008,1,0,3,1,0,0,0,11,7,2,1,6,1,7,8.33,3,0,1,0
2008,10,2,52,0,0,0,0,42,11,3,22,55,10,15,61.0,1,0,1,0
2008,15,11,34,34,1,0,0,219,106,29,68,163,0,116,200.0,3,0,1,0
2008,0,0,6,0,0,0,0,8,5,1,4,3,1,5,5.67,3,0,1,0
2008,2,10,81,0,0,0,9,86,48,9,24,50,25,53,75.67,3,0,1,0
2008,9,14,31,31,0,0,0,202,112,36,77,127,0,114,166.67,3,0,1,0
2008,2,3,13,8,0,0,0,55,32,7,21,35,2,34,47.33,3,0,1,0
2008,6,10,32,21,0,0,0,146,75,18,43,92,2,78,141.0,2,0,1,0
2008,0,6,8,8,0,0,0,59,32,8,17,18,0,36,36.33,3,0,1,0
2008,11,4,28,28,0,0,0,161,66,20,42,141,0,66,172.33,1,0,1,0
2008,0,3,13,3,0,0,0,29,13,1,6,14,1,13,26.67,2,1,0,0
2008,3,7,15,15,0,0,0,92,49,12,28,50,0,53,80.0,3,0,1,0
2008,6,2,51,0,0,0,4,28,10,3,24,82,12,10,58.33,1,0,1,0
2008,3,6,17,14,1,0,0,94,45,12,32,43,1,47,85.33,3,0,1,0
2008,9,16,32,32,1,0,0,215,117,29,58,113,0,127,182.67,3,0,1,0
2008,0,2,3,3,0,0,0,16,12,3,8,6,0,12,10.33,3,0,1,0
2008,4,4,49,4,0,0,1,98,48,12,31,45,14,55,89.33,3,0,1,0
2008,4,14,44,20,0,0,1,135,80,19,79,73,9,89,115.0,3,0,1,0
2008,0,0,4,0,0,0,0,10,9,1,3,4,2,9,6.0,3,0,1,0
2008,4,4,51,0,0,0,0,61,35,6,42,44,8,35,60.33,3,0,1,0
2008,0,0,3,0,0,0,0,7,8,0,5,3,3,8,3.0,3,0,1,0
2008,2,2,32,0,0,0,1,43,21,6,20,24,8,21,45.67,2,0,1,0
2008,12,10,27,27,1,0,0,173,78,18,34,172,0,80,174.33,1,0,1,0
2008,6,4,15,15,0,0,0,70,33,9,37,72,0,38,81.0,2,1,0,0
2008,5,1,71,0,0,0,0,50,11,0,21,32,10,11,49.0,3,1,0,0
2008,1,4,6,6,0,0,0,47,24,4,6,14,0,27,29.67,3,0,1,0
2008,6,6,74,0,0,0,0,66,31,5,28,71,8,31,78.0,1,0,1,0
2008,1,0,11,0,0,0,0,13,7,3,6,9,4,7,13.0,3,0,1,0
2008,0,1,8,0,0,0,0,4,4,3,2,9,2,5,6.33,1,0,1,0
2008,3,7,72,4,0,0,3,86,40,5,47,68,12,44,97.33,2,0,1,0
2008,3,2,44,0,0,0,1,40,25,6,35,43,8,28,45.0,3,0,1,0
2008,2,11,30,22,1,0,0,153,79,25,47,96,1,94,139.67,3,0,1,0
2008,3,4,69,0,0,0,4,76,40,11,25,64,20,41,71.0,3,0,1,0
2008,0,2,29,0,0,0,0,48,20,3,19,25,8,21,36.67,3,0,1,0
2008,16,10,35,32,1,1,0,188,70,14,80,201,1,76,200.67,2,0,1,0
2008,0,0,6,0,0,0,0,5,1,0,5,7,2,1,10.0,1,1,0,0
2008,11,11,33,33,0,0,0,224,87,23,39,96,0,102,193.33,2,0,1,0
2008,9,12,33,33,0,0,0,211,103,22,66,111,0,110,197.67,3,0,1,0
2008,1,3,36,0,0,0,0,32,13,2,13,35,8,14,37.67,1,1,0,0
2008,3,2,8,6,0,0,0,42,28,5,22,13,1,29,34.0,3,0,1,0
2008,3,4,12,12,0,0,0,75,34,9,36,44,0,39,71.33,3,0,1,0
2008,2,1,5,5,0,0,0,36,16,3,5,9,0,19,26.67,3,0,1,0
2008,3,7,47,12,0,0,0,139,78,16,36,97,9,87,118.33,3,0,1,0
2008,0,1,10,0,0,0,0,30,18,2,12,14,4,18,16.0,3,0,1,0
2008,0,2,26,0,0,0,0,54,30,9,14,24,5,30,36.0,3,0,1,0
2008,1,3,18,0,0,0,6,24,14,4,8,9,14,14,16.67,3,0,1,0
2008,1,0,1,1,0,0,0,7,2,0,1,3,0,2,5.0,3,0,1,0
2008,0,0,5,0,0,0,0,11,10,2,5,5,3,10,6.67,3,1,0,0
2008,0,1,10,0,0,0,0,11,8,1,3,5,1,8,8.0,3,1,0,0
2008,2,6,76,0,0,0,1,73,47,10,25,67,18,51,72.0,2,0,1,0
2008,5,4,19,10,0,0,0,77,33,8,25,41,7,36,71.67,3,1,0,0
2008,4,3,68,0,0,0,0,59,14,3,15,17,9,20,59.33,2,0,1,0
2008,2,2,63,0,0,0,0,50,15,4,24,54,11,19,47.0,3,1,0,0
2008,0,0,2,0,0,0,0,4,2,0,3,3,1,2,3.0,3,0,1,0
2008,0,2,49,0,0,0,1,34,10,1,19,39,13,12,47.0,1,1,0,0
2008,0,0,15,0,0,0,0,28,13,4,11,12,14,13,23.0,3,0,1,0
2008,1,0,7,1,0,0,0,20,11,4,5,7,4,11,14.0,3,0,1,0
2008,7,5,72,0,0,0,2,63,30,8,21,64,21,30,68.67,1,0,1,0
2008,1,0,31,0,0,0,0,23,12,3,21,28,13,13,35.0,2,0,1,0
2008,3,5,70,0,0,0,14,54,24,2,27,88,32,29,69.0,1,0,1,0
2008,3,0,32,1,0,0,1,18,7,2,16,33,5,7,34.33,1,0,1,0
2008,2,9,16,15,1,0,0,93,57,11,41,72,0,63,76.0,3,0,1,0
2008,6,6,63,0,0,0,1,45,16,5,18,56,19,23,66.33,1,0,1,0
2008,1,0,10,0,0,0,0,16,5,3,4,11,5,5,14.0,3,0,1,0
2008,15,12,34,34,1,0,0,240,92,22,52,140,0,106,218.67,2,1,0,0
2008,0,0,1,0,0,0,0,5,2,1,1,1,0,2,2.33,3,1,0,0
2008,0,0,4,0,0,0,0,9,4,2,6,5,0,4,5.33,3,0,1,0
2008,0,0,14,0,0,0,0,15,13,3,9,20,7,13,16.0,3,0,1,0
2008,0,2,3,2,0,0,0,15,8,4,2,12,0,9,14.67,1,0,1,0
2008,18,10,35,34,1,0,0,211,100,19,86,231,1,109,221.33,2,0,1,0
2008,1,1,58,0,0,0,0,57,30,7,34,42,16,31,56.67,3,1,0,0
2008,7,10,31,22,0,0,0,165,87,17,50,63,1,90,129.67,3,1,0,0
2008,5,1,54,0,0,0,0,56,21,6,25,58,12,24,58.67,2,0,1,0
2008,9,10,31,29,0,0,0,163,86,29,48,109,0,92,185.0,1,0,1,0
2008,2,1,59,0,0,0,0,45,24,10,29,47,9,24,55.33,2,1,0,0
2008,11,12,30,30,1,0,0,204,92,31,34,82,0,96,180.0,2,0,1,0
2008,8,10,30,30,2,0,0,199,105,24,90,95,0,109,180.0,3,0,1,0
2008,2,1,22,0,0,0,0,32,17,9,17,31,8,18,28.33,3,0,1,0
2008,8,14,34,34,1,1,0,206,91,19,91,186,0,95,217.67,2,0,1,0
2008,0,0,5,0,0,0,0,3,2,0,3,7,3,3,4.67,2,0,1,0
2008,0,0,10,0,0,0,0,10,4,0,6,5,4,9,10.0,3,0,1,0
